id,plate,date,price
1,X059CP797,2024-12-26 00:00:00,65000
2,Y800MH790,2024-07-12 21:31:37,100000
3,A212TX77,2024-04-18 00:00:00,290000
4,P001AY199,2025-01-03 00:27:15,680000
5,P001AY199,2025-01-10 09:32:41,750000
6,B400BB750,2022-04-09 00:00:00,50000
7,P666OM790,2024-11-14 00:00:00,300000
8,C080KP777,2021-06-10 12:30:00,300000
9,E737AY550,2024-07-31 00:00:00,60000
10,C001KK750,2024-07-09 08:48:39,420000
11,P227YC77,2024-12-09 00:00:00,220000
12,A111HA777,2024-03-13 00:00:00,900000
13,P745CX797,2025-02-08 00:00:00,60000
14,Y100CP777,2025-02-11 00:00:00,230000
15,T047EM797,2024-02-14 00:00:00,30000
16,P991CC05,2023-12-20 00:00:00,100000
17,P141BY77,2022-08-19 00:00:00,300000
18,X140YM38,2024-11-27 00:00:00,50000
19,C400OP797,2024-01-10 10:54:58,130000
20,Y999HM34,2022-10-30 00:00:00,110000
21,K063KK190,2023-07-30 12:07:31,530000
22,K063KK190,2024-10-01 00:00:00,450000
23,B764AA250,2025-01-04 00:00:00,21999
24,K093OE797,2025-02-12 00:00:00,70000
25,K555PA196,2024-08-07 00:00:00,890000
26,H003MB97,2023-12-13 00:00:00,300000
27,B878HA193,2024-07-13 00:00:00,50000
28,T888AX198,2024-08-18 00:00:00,250000
29,T089CY797,2025-01-22 00:00:00,30000
30,A077OE777,2022-12-02 16:06:20,350000
31,O400CT750,2023-02-03 00:00:00,40000
32,H300KP75,2024-10-13 00:00:00,3000000
33,M313MM99,2024-06-30 00:00:00,3250000
34,M313MM99,2025-02-09 00:00:00,3800000
35,E001MY197,2023-01-10 00:00:00,350000
36,X971XX40,2022-07-01 00:00:00,200000
37,M281AX977,2025-01-16 00:00:00,30000
38,K015OO797,2023-12-11 18:16:11,80000
39,K015OO797,2024-01-19 15:39:30,85000
40,H424BE790,2024-12-13 11:17:43,100000
41,T654TT190,2024-08-13 00:00:00,250000
42,A666MP43,2024-06-11 00:00:00,6000000
43,O039AA77,2025-02-10 00:00:00,600000
44,E742EE197,2025-02-04 00:00:00,300000
45,K013AA799,2021-12-13 17:30:49,140000
46,B211AE95,2023-09-15 00:00:00,40000
47,H045HK777,2025-02-07 00:00:00,115000
48,B474CA790,2022-12-11 00:00:00,100000
49,T083AA550,2024-12-30 00:00:00,140000
50,C988CY89,2024-11-04 00:00:00,150000
51,C356KP750,2023-09-11 13:28:30,150000
52,K008AB177,2023-08-10 00:00:00,300000
53,M500KA77,2024-12-03 00:00:00,3000000
54,X444KY750,2024-08-05 19:21:53,280000
55,B777BC777,2023-04-22 00:00:00,3250000
56,K111PO790,2023-01-03 00:00:00,333000
57,K099XX799,2025-02-12 00:00:00,130000
58,Y588EP790,2024-05-26 00:00:00,49000
59,O078HE797,2025-02-11 00:00:00,100000
60,T868PB797,2024-10-18 00:00:00,80000
61,X663OC797,2025-01-16 00:00:00,30000
62,T505KT39,2024-09-10 00:00:00,100000
63,O911BO124,2023-07-29 00:00:00,35000
64,M999KO199,2024-08-21 11:50:12,1100000
65,A110MP33,2025-02-07 00:00:00,650000
66,K400YA123,2024-08-01 00:00:00,100000
67,X156CM797,2025-01-24 00:00:00,30000
68,X555KE777,2024-09-06 14:55:01,650000
69,C107OK797,2023-10-25 00:00:00,30000
70,O198OM750,2022-10-13 00:00:00,100000
71,M660PE28,2024-10-31 00:00:00,200000
72,X080PA174,2023-01-30 00:00:00,200000
73,E886MM99,2025-02-11 00:00:00,350000
74,A500XX05,2023-11-23 00:00:00,1400000
75,K196TX797,2025-01-23 00:00:00,30000
76,P570AB77,2024-08-22 00:00:00,200000
77,H144TH977,2024-12-13 00:00:00,50000
78,T086EH977,2025-01-09 00:00:00,80000
79,A080AP550,2024-09-25 00:00:00,40000
80,A080AP550,2024-11-07 18:20:43,100000
81,T303CT790,2023-11-27 00:00:00,90000
82,K727MY761,2024-06-07 00:00:00,35000
83,T190HM190,2021-08-14 19:57:50,70000
84,T190HM190,2021-08-20 16:04:42,135000
85,T190HM190,2021-09-02 19:45:58,150000
86,T190HM190,2021-10-07 14:27:06,160000
87,T190HM190,2021-10-15 09:34:47,190000
88,T190HM190,2021-10-16 20:53:11,160000
89,T190HM190,2021-10-25 21:08:41,150000
90,T190HM190,2021-11-09 13:50:21,140000
91,T190HM190,2021-11-18 10:11:59,150000
92,T190HM190,2021-12-30 14:10:07,160000
93,T190HM190,2022-01-10 15:42:31,170000
94,T190HM190,2022-01-25 23:12:53,150000
95,T190HM190,2022-01-29 12:05:21,160000
96,T190HM190,2022-02-02 18:00:57,130000
97,T190HM190,2022-02-28 19:51:30,170000
98,T190HM190,2022-03-08 22:03:32,180000
99,O700CT197,2023-11-20 21:26:23,185000
100,M222EK22,2024-03-30 00:00:00,750000
101,A600CE790,2022-03-14 00:00:00,75000
102,H666EM50,2021-09-03 13:27:28,125000
103,B666PH777,2024-05-27 15:47:20,1500000
104,H333EM750,2024-03-06 00:00:00,200000
105,B320TE797,2024-11-27 00:00:00,70000
106,B469OP197,2023-07-19 00:00:00,100000
107,B469OP197,2023-08-23 00:00:00,60000
108,A300OY799,2024-01-23 12:01:01,95000
109,A300OY799,2025-01-15 00:00:00,150000
110,T003HE190,2024-10-20 12:55:54,230000
111,T003HE190,2024-10-21 01:04:17,180000
112,Y004BB777,2022-12-08 00:00:00,150000
113,M530CC196,2024-11-11 00:00:00,200000
114,E005PM05,2024-01-28 00:00:00,900000
115,T112CK18,2024-03-21 00:00:00,25000
116,A535YC790,2025-01-20 00:00:00,34999
117,E393MY797,2025-01-19 00:00:00,60000
118,X784AM777,2025-02-12 00:00:00,150000
119,A148XY797,2025-01-10 00:00:00,60000
120,M060CM60,2023-09-25 00:00:00,100000
121,T674TT77,2025-01-24 00:00:00,780000
122,P899PT797,2025-02-03 00:00:00,75000
123,K020TC63,2024-07-05 00:00:00,50000
124,A991MK199,2023-07-22 00:00:00,300000
125,M010TO93,2023-07-16 00:00:00,80000
126,O100ME50,2024-05-31 23:23:25,230000
127,O100ME50,2024-06-17 11:21:41,200000
128,A150AO150,2024-02-16 12:57:30,450000
129,Y770PE797,2024-08-03 00:00:00,200000
130,O131PC77,2025-01-05 00:00:00,130000
131,K100XP777,2025-02-07 00:00:00,350000
132,X600PT790,2021-10-23 18:07:18,65000
133,X600PT790,2022-04-08 17:37:52,100000
134,X600PT790,2022-05-21 12:41:37,80000
135,X600PT790,2022-06-01 21:46:41,70000
136,X600PT790,2022-06-09 12:29:04,60000
137,X600PT790,2022-06-28 15:36:18,55000
138,X600PT790,2022-08-12 16:17:29,70000
139,X600PT790,2022-09-03 16:23:51,65000
140,X600PT790,2022-09-07 21:46:49,70000
141,X600PT790,2022-09-13 13:38:54,600000
142,X600PT790,2023-03-22 17:55:32,40000
143,X600PT790,2023-04-05 13:59:31,35000
144,X600PT790,2023-04-06 14:35:11,30000
145,T300EH977,2024-11-19 15:56:53,50000
146,B044TH797,2024-12-07 00:00:00,60000
147,C990TC99,2023-10-26 00:00:00,350000
148,C005MM99,2023-01-23 00:00:00,250000
